t,lat,lon,alt,v1,v2,v3,a1,a2,a3
1670,33.4085180111978,-5.30526898098883,411853.275335125,-2312.57246894346,5529.22923832264,4283.22161915649,-6.37213707077387,1.00386203865404,-4.75871907711307
1675,33.6251490400352,-5.03734939715486,411900.396070267,-2344.39420763143,5534.17227911919,4259.35978560912,-6.35653043697635,0.973346357357046,-4.78598865882013
1680,33.8410952637335,-4.76798630604746,411947.694370197,-2376.13747935625,5538.96262992582,4235.36198941817,-6.34074387830549,0.942788943327528,-4.81310399029334
1685,34.0563477774981,-4.49716554971114,411995.162647787,-2407.80135332269,5543.60009816049,4211.22900399786,-6.3247779217765,0.912190690668099,-4.84006420698084
1690,34.2708975788845,-4.22487243559286,412042.79331414,-2439.38495013213,5548.08447481583,4186.96160707515,-6.30863310683933,0.881552444879319,-4.86686844834629
1695,34.4847355668808,-3.95109241214863,412090.578780198,-2470.88737684422,5552.41556210209,4162.56058066935,-6.292309975171,0.850875077541173,-4.89351585803593
1700,34.6978525410052,-3.67581073600125,412138.511458346,-2502.30775954471,5556.59315926431,4138.02671107046,-6.27580907711799,0.820159449151432,-4.92000558417562
1705,34.9102392004158,-3.39901314784489,412186.583764032,-2533.64517818259,5560.61709189191,4113.36078881582,-6.25913096315037,0.78940648251087,-4.94633677979011
1710,35.1218861430407,-3.12068486754744,412234.788117333,-2564.8987643865,5564.48716818061,4088.56360866433,-6.24227619968642,0.758617051541039,-4.97250860332374
1715,35.3327838647218,-2.84081110226419,412283.116944443,-2596.0676526751,5568.20320043513,4063.63596956786,-6.22524536232925,0.727792036052338,-4.9985202192436
1720,35.5429227583787,-2.55937755474319,412331.562679083,-2627.15093146132,5571.7650282212,4038.57867463956,-6.20803903057059,0.696932375430253,-5.02437079869605
1725,35.7522931131936,-2.27636941891328,412380.11776381,-2658.14774109236,5575.17247296116,4013.39253111871,-6.19065780151415,0.66603895774747,-5.05005952017776
1730,35.9608851138171,-1.99177188852936,412428.774651173,-2689.05722495916,5578.42536025137,3988.07835033238,-6.17310228332973,0.635112673592511,-5.07558557019507
1735,36.1686888395953,-1.70557066599708,412477.525804736,-2719.87848042339,5581.52354381212,3962.6369476538,-6.15537309008517,0.604154468891694,-5.10094814387386
1740,36.375694263825,-1.41775095851171,412526.363699955,-2750.61065704478,5584.46685842473,3937.06914245789,-6.13747085308051,0.57316523466413,-5.12614644547707
1745,36.5818912530318,-1.12829798725201,412575.280824876,-2781.25290759347,5587.25514305102,3911.37575807457,-6.11939621432979,0.542145860268974,-5.15117968881225
1750,36.7872695662755,-0.837197496775608,412624.269680697,-2811.80433889963,5589.88826557146,3885.55762174026,-6.10114982142736,0.511097285768607,-5.17604709749828
1755,36.991818854488,-0.544434751750476,412673.322782158,-2842.26411023195,5592.36607407693,3859.61556454851,-6.08273233649507,0.48002039280047,-5.20074790505937
1760,37.1955286598383,-0.249995046737572,412722.432657813,-2872.63138421387,5594.68842078471,3833.55042140063,-6.06414442980292,0.448916057681453,-5.22528135485243
1765,37.3983884151309,0.0461357837853001,412771.591850162,-2902.90527759597,5596.85518756213,3807.36303095702,-6.04538677487767,0.417785203742254,-5.24964669981525
1770,37.6003874432405,0.34397236809217,412820.792915713,-2933.084959755,5598.86623559147,3781.05423559034,-6.02646005535349,0.386628693752935,-5.27384320202594
1775,37.8015149565802,0.643529286762627,412870.028424934,-2963.16960351532,5600.7214300849,3754.62488134121,-6.00736495910243,0.355447383238646,-5.297870132109
1780,38.0017600566087,0.944820562021899,412919.290962204,-2993.1583358538,5602.42066659395,3728.07581787728,-5.98810217401366,0.324242173069804,-5.32172676849774
1785,38.2011117333787,1.24786065973297,412968.573125731,-3023.05033648783,5603.96381907496,3701.40789845627,-5.96867239320995,0.293013903697835,-5.34541239656709
1790,38.3995588651265,1.55266397828088,413017.867527488,-3052.84478861615,5605.35076540573,3674.62197989364,-5.94907631017307,0.261763408803593,-5.36892630769611
1795,38.5970902179046,1.85924433721364,413067.166793223,-3082.54082956772,5606.58141448672,3647.71892253499,-5.92931461567429,0.230491568179088,-5.39226779828555
1800,38.7936944452642,2.16761597854948,413116.463562529,-3112.13764946012,5607.65565273279,3620.69959023341,-5.90938800180792,0.199199203747876,-5.41543616876003
1805,38.9893600879843,2.47779305493298,413165.750489025,-3141.63444187592,5608.57337039711,3593.56485033183,-5.88929715852135,0.16788713339277,-5.43843072262205
1810,39.1840755738515,2.7897891175631,413215.020240686,-3171.03035447725,5609.33448946588,3566.31557364979,-5.86904277204327,0.136556223884357,-5.46125076558573
1815,39.3778292174964,3.10361811676004,413264.2655003,-3200.32458771701,5609.93890860259,3538.95263447432,-5.848625527998,0.105207288405585,-5.48389560481998
1820,39.5706092202841,3.41929388938766,413313.478966074,-3229.51634547573,5610.3865302779,3511.47691055426,-5.82804610951869,0.0738411401692237,-5.50636454835678
1821.15434648862,39.6149766081287,3.49243742139295,413324.835556813,-3236.24116614221,5610.46759300803,3505.11767748792,-5.82327198288052,0.0665973164070931,-5.51152687236869
